"id","size","surv","sizeNext","fec1","fec2","Site","DeerBrowse2020","BrowseLevel2020","Cover2020","ProtectedFRBrowse2020","Notes2020","Notes2021"
"1",69.3,0,NA,1,154.5,"CNM","N",NA,"L","N","",""
"4",57.7,1,58.4,1,30.9,"CNM","Y","L","L","N","",""
"6",68.5,1,48.3,1,72.1,"CNM","N",NA,"BG","N","INSECT DAMAGE",""
"7",101.6,1,57.4,1,257.5,"CNM","Y","L","L","N","",""
"8",57.9,1,68,1,370.8,"CNM","Y","L","BG","N","",""
"10",84.7,1,18.5,1,1339,"CNM","N",NA,"BG","N","",""
"11",61.8,1,38.4,1,278.1,"CNM","N",NA,"BG","N","",""
"12",64.7,1,51.1,1,247.2,"CNM","N",NA,"BG","N","",""
"14",63.3,1,84.9,1,247.2,"CNM","Y","M","BG","N","",""
"15",70,1,72.4,1,391.4,"CNM","Y","L","L","N","","Sotol"
"16",68.3,1,57,1,1009.4,"CNM","N",NA,"BG","N","",""
"17",79.1,1,76.9,1,741.6,"CNM","N",NA,"L","N","",""
"18",52.5,1,41.1,1,442.9,"CNM","Y","L","PG","N","",""
"20",57.3,1,58,1,164.8,"CNM","Y","L","L","N","",""
"21",44.2,1,43.6,1,82.4,"CNM","N",NA,"L","N","",""
"23",88.5,1,39.6,1,391.4,"CNM","N",NA,"BG","Y","","Sotol"
"805",62.4,1,56.3,1,113.3,"CNM","N",NA,"BG","Y","","Sotol"
"1000",44.2,1,22.2,1,41.2,"CNM","N",NA,"L","N","OLD GROWTH PRESENT",""
"1001",42.9,1,43.3,1,30.9,"CNM","N",NA,"BG","N","OLD GROWTH PRESENT",""
"26",69.9,1,84.3,1,278.1,"CNM","N",NA,"L","Y","L=LITTER COVER",""
"27",76.7,1,73,1,247.2,"CNM","N",NA,"PG","N","",""
"33",51.6,1,61.5,1,20.6,"CNM","N",NA,"PG","Y","BUNCHGRASS ""PROTECTION""?",""
"34",67.1,1,72.9,1,772.5,"CNM","Y","L","BG","Y","",""
"35",68.2,1,66.2,1,61.8,"CNM","N",NA,"BG","N","",""
"1007",71.3,1,8.7,1,988.8,"CNM","Y","L","BG","N","SEPERATED FROM 208",""
"42",69.6,0,NA,1,267.8,"CNM","Y","L","PG","N","",""
"43",68.1,1,65.4,1,123.6,"CNM","N",NA,"BG","Y","",""
"44",71.8,1,74.9,1,236.9,"CNM","N",NA,"PG","N","",""
"45",56.3,1,41.4,1,195.7,"CNM","N",NA,"PG","N","",""
"46",56,1,40.5,1,226.6,"CNM","N",NA,"PG","N","",""
"47",61.2,1,48.6,1,82.4,"CNM","N",NA,"PG","N","",""
"48",83.5,1,76.4,1,391.4,"CNM","N",NA,"PG","N","",""
"50",72.5,1,71.6,1,1266.9,"CNM","N",NA,"BG","N","",""
"51",54.5,1,61.3,1,72.1,"CNM","N",NA,"BG","N","",""
"52",60.3,1,51.9,1,473.8,"CNM","N",NA,"PG","N","",""
"53",45.3,1,65.5,1,10.3,"CNM","N",NA,"PG","N","FLOWER HEAD SMALL",""
"806",73.1,1,63.2,1,257.5,"CNM","Y","L","L","N","","2020 said subpop 2, 2021 said subpop 3"
"807",57,0,NA,1,113.3,"CNM","N",NA,"BG","N","",""
"808",61.3,1,43.7,1,113.3,"CNM","Y","M","PG","Y","",""
"809",69,1,60.6,1,185.4,"CNM","N",NA,"L","N","",""
"57",63.7,1,63.9,1,41.2,"CNM","N",NA,"PG","N","",""
"58",43.8,1,47.2,1,10.3,"CNM","N",NA,"PG","Y","",""
"59",61.2,1,58.7,1,103,"CNM","N",NA,"PG","Y","",""
"60",66,1,74.2,1,92.7,"CNM","N",NA,"BG","Y","",""
"61",78,1,47.5,1,216.3,"CNM","Y","M","PG","N","",""
"62",73.9,1,17,1,133.9,"CNM","Y","M","BG","N","",""
"63",56.6,1,37.6,1,41.2,"CNM","N",NA,"BG","Y","","Yucca"
"64",51.3,1,59.2,1,10.3,"CNM","Y","M/H","BG","N","",""
"65",65.5,1,46.3,1,123.6,"CNM","Y","L","BG","N","",""
"66",47.7,1,46,1,103,"CNM","N",NA,"BG","N","",""
"68",48.8,1,43.6,1,41.2,"CNM","N",NA,"BG","N","",""
"69",72.2,1,72,1,61.8,"CNM","N",NA,"PG","N","",""
"70",90.7,1,53.7,1,628.3,"CNM","N",NA,"BG","Y","",""
"71",58.5,1,47.5,1,41.2,"CNM","N",NA,"BG","N","",""
"72",80.2,1,38.7,1,92.7,"CNM","N",NA,"PF","N","",""
"74",71,0,NA,1,473.8,"CNM","N",NA,"PG","N","BROKEN BY OBSERVATION",""
"75",51.6,1,65.5,1,20.6,"CNM","Y","L","PG","Y","",""
"810",45.1,1,44.1,1,92.7,"CNM","N",NA,"BG","N","",""
"811",47.5,1,31.1,1,51.5,"CNM","N",NA,"PG","N","",""
"812",58.4,1,24.1,1,41.2,"CNM","Y","M","L","N","",""
"76",99.2,1,101.1,1,545.9,"CNM","Y","L","PG","N","",""
"77",72.9,1,47.1,1,154.5,"CNM","Y","L","L","N","",""
"78",92.8,1,61.6,1,185.4,"CNM","N",NA,"PG","Y","DEAD MANZANITA COVER.","Protected by ""AS"" ?"
"81",63.6,1,69.5,1,309,"CNM","Y","M","L","N","",""
"82",77,1,73.6,1,1215.4,"CNM","Y","L","PG","N","",""
"83",62,1,47.4,1,339.9,"CNM","Y","L","PG","N","",""
"84",68.6,1,66.3,1,566.5,"CNM","N",NA,"L","Y","","Yucca"
"85",70.4,1,85.1,1,278.1,"CNM","N",NA,"L","N","",""
