,UniqueID,WeedControl,MapUnit,VegHeight,VegReproHeight,StemDiameter,StemNum,LengthLongestBranchwFoliage,InflorNum,Reproduced,TotalReproOutput
1,Bobcat03_1,C,1,5.4,5.4,0.18,0,3.7,0,0,0
2,Bobcat03_2,C,1,42.6,56.4,0.3,6,1,6,1,21
3,Bobcat03_3,C,1,8.3,8.3,0.12,0,5.8,0,0,0
4,Bobcat03_4,C,1,2.5,2.5,0.06,0,1.5,0,0,0
5,Bobcat03_5,C,1,31,31,0.22,0,22.4,0,0,0
6,Bobcat03_6,C,1,26.8,44.2,0.19,0,18,4,1,26
7,Bobcat03_7,C,1,39.1,53.6,0.29,1,24,5,1,36
8,Bobcat03_8,C,1,18.5,18.5,0.17,0,16.4,0,0,0
9,Bobcat03_9,C,1,14.4,14.4,0.24,0,8.8,0,0,0
10,Bobcat03_10,C,1,6.8,6.8,0.15,0,4.3,0,0,0
11,Bobcat03_11,C,1,18.5,18.5,0.18,0,12.8,0,0,0
12,Bobcat03_12,C,1,11,11,0.12,0,5.1,0,0,0
13,Bobcat03_13,C,1,13.8,13.8,0.15,0,8.1,0,0,0
14,Bobcat03_14,C,1,19.9,19.9,0.19,0,12.4,0,0,0
15,Bobcat03_15,C,1,13.2,13.2,0.17,0,17.7,0,0,0
16,Bobcat03_16,C,1,11,11,0.19,0,14.6,0,0,0
17,Bobcat03_17,C,1,12.5,12.5,0.15,0,5.1,0,0,0
18,Bobcat03_18,C,1,9,9,0.13,0,5.2,0,0,0
19,Bobcat03_19,C,1,32.3,32.3,0.21,0,18.2,0,0,0
20,Bobcat03_20,C,1,20.4,20.4,0.29,0,12.6,0,0,0
21,Bobcat03_21,C,1,27.3,27.3,0.17,0,20.6,0,0,0
22,Bobcat03_22,C,1,9,9,0.19,0,5.4,0,0,0
23,Bobcat03_23,C,1,100.3,109.7,1.15,3,11.1,9,1,64
24,Bobcat03_24,C,1,120.5,129.9,5.38,6,22.5,26,1,58
25,Bobcat03_25,C,1,18.4,18.4,0.13,0,10.1,0,0,0
26,Bobcat03_26,C,1,119.4,138.9,1.55,4,14.4,21,1,49
27,Bobcat03_27,C,1,30,30,0.2,0,15.9,0,0,0
28,Bobcat03_28,C,1,7.5,7.5,0.09,0,5.6,0,0,0
29,Bobcat03_29,C,1,8,8,0.14,0,5.8,0,0,0
30,Bobcat03_30,C,1,22.3,22.3,0.23,0,15.4,0,0,0
31,Bobcat03_31,C,2,93.1,120.5,0.85,6,12.5,16,1,33
32,Bobcat03_32,C,2,119,131.5,0.84,4,15.6,18,1,40
33,Bobcat03_33,C,2,83.2,98.5,0.72,2,26.8,13,1,40
34,Bobcat03_34,C,2,99.5,121.6,0.41,2,8.5,4,1,28
35,Bobcat03_35,C,2,136.6,150.4,0.52,2,33.5,11,1,45
36,Bobcat03_36,C,2,39,39,0.34,0,28.2,0,0,0
37,Bobcat03_37,C,2,8.5,8.5,0.12,0,5.5,0,0,0
38,Bobcat03_38,C,2,14.7,14.7,0.22,0,8.9,0,0,0
39,Bobcat03_39,C,2,12.5,12.5,0.18,0,5.4,0,0,0
40,Bobcat03_40,C,2,7.3,7.3,0.12,0,4.5,0,0,0
41,Bobcat03_41,C,2,33.1,33.1,0.27,0,19,0,0,0
42,Bobcat03_42,C,2,20.4,20.4,0.22,0,13.3,0,0,0
43,Bobcat03_43,C,2,36,36,0.25,0,20.5,0,0,0
44,Bobcat03_44,C,2,23.4,23.4,0.12,0,12.7,0,0,0
45,Bobcat03_45,C,3,27.8,42.7,0.2,0,20.5,1,1,9
46,Bobcat03_46,C,3,29.4,39.6,0.2,0,20,1,1,11
47,Bobcat03_47,C,3,19.9,19.9,0.18,0,13.1,0,0,0
48,Bobcat03_48,C,3,26.6,34.6,0.15,0,16.3,1,1,5
49,Bobcat03_49,C,3,14.6,14.6,0.16,0,9.1,0,0,0
50,Bobcat03_50,C,3,78.7,89.1,1.09,2,14.9,18,1,55
51,KalawamounaE_1,W,1,65.2,76.2,1.43,7,15.3,5,1,66
52,KalawamounaE_2,W,1,7.9,7.9,0.13,0,4.1,0,0,0
53,KalawamounaE_3,W,1,8.5,8.5,0.16,0,6.8,0,0,0
54,KalawamounaE_4,W,1,90.1,108.8,1.12,6,11.1,21,1,58
