"siteID","site_type","lon_WGS84","lat_WGS84","X_albers","Y_albers","wgt","ip","R3ERU"
"Site-01","Base",-109.832319005891,32.5364442466498,-1287564.02969205,1145448.80329161,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-02","Base",-109.400729921863,31.8453331910621,-1258486.85948949,1063428.83873513,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-03","Base",-111.013438977344,31.3646680101063,-1417165.13116634,1033210.95705643,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-04","Base",-110.684348797909,31.4088101843936,-1385595.63208927,1033210.95705643,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-05","Base",-110.302442098129,32.6995389605275,-1328272.06797564,1169910.89798389,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-06","Base",-110.423254807547,31.3384678470252,-1362333.89592722,1021699.38308359,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-07","Base",-110.553231367873,31.51767592592,-1371472.43513374,1043283.58428267,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-08","Base",-110.740666314619,31.7153039885155,-1385595.63208927,1067745.67897495,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-09","Base",-109.354242643438,32.046574125242,-1251009.87286597,1085013.03993421,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-10","Base",-110.460058676062,31.5429339143066,-1362333.89592722,1044722.53102927,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-11","Base",-110.449770780154,31.3873330281949,-1363995.44851022,1027455.17007001,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-12","Base",-111.21068640807,31.4686842867615,-1433780.65699638,1047600.42452248,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-13","Base",-109.405588350519,31.6620470150626,-1261809.9646555,1043283.58428267,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-14","Base",-110.741216506306,32.538574698169,-1371472.43513374,1158399.32401105,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
